circuit,p_dep (2q),decision error |p̂−p|
QFT exact,0.0,0.004394531249999889
QFT exact,0.002,0.007812500000000111
QFT exact,0.005,0.02294921875000011
QFT exact,0.01,0.04589843750000011
QFT exact,0.02,0.08813476562500011
QFT exact,0.04,0.1252441406250001
QFT banded b=3,0.0,0.004394531249999889
QFT banded b=3,0.002,0.007812500000000111
QFT banded b=3,0.005,0.02319335937500011
QFT banded b=3,0.01,0.04614257812500011
QFT banded b=3,0.02,0.08837890625000011
QFT banded b=3,0.04,0.1267089843750001
QFT banded b=2,0.0,0.008300781250000111
QFT banded b=2,0.002,0.015136718750000111
QFT banded b=2,0.005,0.02734375000000011
QFT banded b=2,0.01,0.04492187500000011
QFT banded b=2,0.02,0.07617187500000011
QFT banded b=2,0.04,0.11108398437500011
